row,Region,Avg. temperature,Regional Illnesses,Week of
664,05,85.71259541984736,208,07/23/2022
665,06,99.64473161033793,746,07/23/2022
666,07,92.997572815534,682,07/23/2022
667,08,89.24089347079038,310,07/23/2022
668,09,94.44222222222221,577,07/23/2022
669,10,83.22436974789917,182,07/23/2022
670,01,80.47014925373135,81,07/16/2022
671,02,82.34939759036143,69,07/16/2022
672,03,83.25053003533566,161,07/16/2022
673,04,87.95910326086944,224,07/16/2022
674,05,82.08206106870237,90,07/16/2022
675,06,98.57713717693836,649,07/16/2022
676,07,90.99927184466024,507,07/16/2022
677,08,86.47594501718211,352,07/16/2022
678,09,92.64777777777778,561,07/16/2022
679,10,83.50420168067231,240,07/16/2022
680,01,78.5537313432836,67,07/09/2022
681,02,80.68433734939758,55,07/09/2022
682,03,85.26077738515907,160,07/09/2022
683,04,92.08274456521742,400,07/09/2022
684,05,83.42404580152672,178,07/09/2022
685,06,97.27395626242549,685,07/09/2022
686,07,90.08786407766985,677,07/09/2022
687,08,82.43264604810997,248,07/09/2022
688,09,83.56111111111112,279,07/09/2022
689,10,76.11428571428573,75,07/09/2022
690,01,,106,07/02/2022
691,02,,102,07/02/2022
692,03,,179,07/02/2022
693,04,,200,07/02/2022
694,05,,107,07/02/2022
695,06,,329,07/02/2022
696,07,,260,07/02/2022
697,08,,159,07/02/2022
698,09,,390,07/02/2022
699,10,,321,07/02/2022
700,01,69.78955223880597,80,06/25/2022
701,02,73.60602409638553,43,06/25/2022
702,03,80.06890459363964,100,06/25/2022
703,04,91.72486413043477,365,06/25/2022
704,05,85.83225190839694,280,06/25/2022
705,06,96.0200795228629,670,06/25/2022
706,07,90.57402912621355,613,06/25/2022
707,08,80.90481099656354,119,06/25/2022
708,09,84.73666666666666,295,06/25/2022
709,10,69.91092436974787,150,06/25/2022
710,01,76.44328358208955,35,06/18/2022
711,02,78.61566265060242,46,06/18/2022
712,03,84.52614840989409,224,06/18/2022
713,04,92.36861413043476,599,06/18/2022
714,05,84.43893129770994,535,06/18/2022
715,06,96.66341948310145,644,06/18/2022
716,07,91.47718446601944,882,06/18/2022
717,08,79.03092783505156,225,06/18/2022
718,09,83.01666666666665,316,06/18/2022
719,10,63.08823529411766,16,06/18/2022
720,01,73.32835820895521,34,06/11/2022
721,02,74.75903614457832,25,06/11/2022
722,03,78.63851590106002,61,06/11/2022
723,04,85.36548913043471,128,06/11/2022
724,05,75.54293893129766,37,06/11/2022
725,06,90.67296222664021,381,06/11/2022
726,07,80.11310679611654,210,06/11/2022
727,08,73.26941580756011,167,06/11/2022
728,09,84.73111111111112,433,06/11/2022
729,10,66.70420168067226,29,06/11/2022
730,01,72.89701492537314,70,06/04/2022
731,02,78.07228915662651,88,06/04/2022
732,03,83.18162544169616,284,06/04/2022
733,04,86.75203804347836,196,06/04/2022
734,05,78.51908396946561,104,06/04/2022
735,06,88.1757455268389,188,06/04/2022
736,07,79.87524271844659,118,06/04/2022
737,08,67.52508591065286,44,06/04/2022
738,09,77.35222222222222,91,06/04/2022
739,10,62.59243697478992,29,06/04/2022
740,01,74.25671641791044,66,05/28/2022
741,02,75.79277108433737,47,05/28/2022
742,03,74.81802120141346,84,05/28/2022
743,04,80.66019021739132,82,05/28/2022
744,05,67.98282442748094,15,05/28/2022
745,06,79.76103379721674,94,05/28/2022
746,07,65.85242718446595,66,05/28/2022
747,08,64.89175257731962,47,05/28/2022
748,09,81.80444444444443,152,05/28/2022
749,10,64.4890756302521,27,05/28/2022
750,01,70.52686567164176,55,05/21/2022
751,02,72.34578313253013,72,05/21/2022
752,03,78.61413427561838,194,05/21/2022
753,04,86.43573369565225,153,05/21/2022
754,05,75.63664122137408,44,05/21/2022
755,06,91.71928429423454,212,05/21/2022
756,07,80.65509708737865,90,05/21/2022
757,08,67.41924398625426,44,05/21/2022
758,09,80.2811111111111,144,05/21/2022
759,10,60.093277310924364,18,05/21/2022
760,01,68.61641791044774,65,05/14/2022
761,02,70.79036144578312,15,05/14/2022
762,03,68.91943462897524,27,05/14/2022
763,04,79.09157608695652,86,05/14/2022
764,05,78.35973282442755,238,05/14/2022
765,06,91.11252485089477,253,05/14/2022
766,07,84.10388349514564,445,05/14/2022
767,08,65.1707903780069,32,05/14/2022
768,09,64.89999999999998,55,05/14/2022
769,10,51.00252100840338,4,05/14/2022
770,01,59.58805970149253,10,05/07/2022
771,02,62.467469879518084,9,05/07/2022
772,03,70.98445229681984,13,05/07/2022
773,04,82.15149456521742,74,05/07/2022
774,05,60.83835877862588,10,05/07/2022
775,06,81.26023856858845,87,05/07/2022
776,07,59.94126213592232,0,05/07/2022
777,08,58.71993127147769,28,05/07/2022
778,09,73.33333333333334,52,05/07/2022
779,10,56.71932773109246,11,05/07/2022
780,01,54.58358208955224,3,04/30/2022
781,02,58.81566265060242,10,04/30/2022
782,03,69.86501766784453,34,04/30/2022
783,04,78.74741847826085,56,04/30/2022
784,05,60.328244274809144,13,04/30/2022
785,06,78.72882703777339,38,04/30/2022
786,07,68.25776699029133,47,04/30/2022
787,08,53.4690721649485,7,04/30/2022
788,09,69.7511111111111,34,04/30/2022
789,10,54.73613445378152,4,04/30/2022
790,01,53.24626865671641,9,04/23/2022
791,02,52.8277108433735,3,04/23/2022
792,03,59.978091872791516,17,04/23/2022
793,04,71.77323369565217,41,04/23/2022
794,05,51.7272900763359,13,04/23/2022
795,06,78.33856858846914,42,04/23/2022
796,07,61.613592233009705,23,04/23/2022
797,08,53.42508591065292,12,04/23/2022
798,09,64.88888888888889,38,04/23/2022
799,10,49.99663865546217,9,04/23/2022
800,01,57.91641791044778,6,04/16/2022
801,02,62.554216867469925,9,04/16/2022
802,03,67.73215547703181,24,04/16/2022
803,04,73.51834239130442,32,04/16/2022
804,05,56.65076335877859,4,04/16/2022
805,06,80.0574552683896,41,04/16/2022
806,07,64.01917475728159,19,04/16/2022
807,08,43.262542955326474,0,04/16/2022
808,09,60.87333333333335,30,04/16/2022
809,10,41.061344537815124,7,04/16/2022
810,01,51.69850746268658,4,04/09/2022
811,02,52.060240963855414,2,04/09/2022
812,03,58.61378091872792,4,04/09/2022
813,04,69.42513586956522,29,04/09/2022
814,05,48.71068702290078,5,04/09/2022
815,06,75.37793240556667,21,04/09/2022
816,07,57.44563106796116,10,04/09/2022
817,08,51.988316151202724,19,04/09/2022
818,09,73.73777777777777,78,04/09/2022
819,10,53.39747899159664,8,04/09/2022
820,01,44.27462686567162,8,04/02/2022
821,02,43.972289156626516,2,04/02/2022
822,03,52.34063604240282,8,04/02/2022
823,04,68.86195652173916,25,04/02/2022
824,05,42.50896946564886,5,04/02/2022
825,06,76.01769383697811,32,04/02/2022
826,07,53.47936893203882,10,04/02/2022
827,08,50.722680412371126,10,04/02/2022
828,09,66.12333333333332,27,04/02/2022
829,10,56.29747899159665,11,04/02/2022
830,01,48.420895522388044,2,03/26/2022
831,02,52.897590361445786,5,03/26/2022
832,03,62.339929328621885,9,03/26/2022
833,04,69.29714673913038,24,03/26/2022
834,05,52.08530534351141,5,03/26/2022
835,06,69.33419483101387,14,03/26/2022
836,07,56.88131067961174,0,03/26/2022
837,08,52.006872852233684,15,03/26/2022
838,09,69.09333333333333,51,03/26/2022
839,10,52.84285714285713,8,03/26/2022
840,01,49.16119402985074,4,03/19/2022
841,02,52.12168674698797,5,03/19/2022
842,03,58.19081272084808,8,03/19/2022
843,04,64.42065217391315,25,03/19/2022
844,05,52.10973282442752,5,03/19/2022
845,06,68.1357852882704,13,03/19/2022
846,07,58.55582524271841,0,03/19/2022
847,08,49.4288659793814,5,03/19/2022
848,09,64.59000000000002,26,03/19/2022
849,10,48.88991596638655,10,03/19/2022
850,01,45.188059701492534,5,03/12/2022
851,02,49.289156626506035,3,03/12/2022
852,03,58.68056537102473,6,03/12/2022
853,04,68.26793478260863,26,03/12/2022
854,05,40.95782442748095,2,03/12/2022
855,06,59.16242544731608,7,03/12/2022
856,07,38.15242718446606,0,03/12/2022
857,08,27.200000000000014,8,03/12/2022
858,09,56.23000000000001,14,03/12/2022
859,10,42.30924369747898,8,03/12/2022
860,01,31.31940298507463,7,03/05/2022
861,02,36.13132530120482,3,03/05/2022
862,03,51.605653710247374,12,03/05/2022
863,04,66.94904891304347,26,03/05/2022
864,05,42.61106870229004,5,03/05/2022
865,06,66.7610337972167,12,03/05/2022
866,07,60.31116504854365,5,03/05/2022
867,08,44.2085910652921,10,03/05/2022
868,09,63.55222222222223,24,03/05/2022
869,10,46.149579831932776,10,03/05/2022
870,01,38.988059701492546,4,02/26/2022
871,02,42.599999999999994,6,02/26/2022
872,03,53.20494699646643,8,02/26/2022
873,04,64.38519021739134,29,02/26/2022
874,05,32.90496183206106,4,02/26/2022
875,06,55.71928429423463,6,02/26/2022
876,07,35.30703883495147,11,02/26/2022
877,08,22.914432989690706,3,02/26/2022
878,09,51.84888888888891,4,02/26/2022
879,10,34.084033613445385,4,02/26/2022
880,01,37.61194029850747,5,02/19/2022
881,02,37.96987951807228,3,02/19/2022
882,03,46.94204946996466,3,02/19/2022
883,04,60.46019021739137,15,02/19/2022
884,05,30.893320610687013,4,02/19/2022
885,06,62.18151093439361,4,02/19/2022
886,07,42.902912621359256,0,02/19/2022
887,08,36.61752577319585,3,02/19/2022
888,09,62.071111111111115,7,02/19/2022
889,10,45.91596638655462,6,02/19/2022
890,01,35.88358208955224,2,02/12/2022
891,02,38.239759036144584,4,02/12/2022
892,03,46.208480565371055,4,02/12/2022
893,04,56.17894021739133,15,02/12/2022
894,05,34.47614503816791,6,02/12/2022
895,06,60.77137176938366,7,02/12/2022
896,07,49.07888349514564,0,02/12/2022
897,08,41.938487972508575,3,02/12/2022
898,09,65.52888888888887,25,02/12/2022
899,10,47.35882352941177,4,02/12/2022
900,01,29.592537313432832,9,02/05/2022
901,02,31.35180722891566,8,02/05/2022
902,03,40.93639575971731,2,02/05/2022
903,04,55.27771739130437,14,02/05/2022
904,05,27.691603053435074,7,02/05/2022
905,06,53.62703777335981,4,02/05/2022
906,07,36.74101941747575,6,02/05/2022
907,08,29.457731958762878,5,02/05/2022
908,09,54.237777777777794,2,02/05/2022
909,10,36.10084033613447,12,02/05/2022
910,01,25.72089552238805,5,01/29/2022
911,02,27.14819277108434,9,01/29/2022
912,03,35.660424028268515,5,01/29/2022
913,04,49.21888586956523,8,01/29/2022
914,05,23.672900763358783,4,01/29/2022
915,06,52.33499005964218,2,01/29/2022
916,07,37.157281553398064,0,01/29/2022
917,08,33.38350515463917,0,01/29/2022
918,09,57.301111111111105,4,01/29/2022
919,10,38.83529411764705,4,01/29/2022
920,01,26.69850746268657,4,01/22/2022
921,02,28.551807228915653,11,01/22/2022
922,03,35.034982332155465,6,01/22/2022
923,04,47.62377717391305,11,01/22/2022
924,05,27.079961832061034,6,01/22/2022
925,06,53.375745526838934,5,01/22/2022
926,07,33.681796116504856,0,01/22/2022
927,08,35.32439862542958,2,01/22/2022
928,09,57.06888888888888,4,01/22/2022
929,10,39.89831932773112,12,01/22/2022
930,01,28.674626865671637,4,01/15/2022
931,02,31.754216867469868,7,01/15/2022
932,03,40.25441696113075,5,01/15/2022
933,04,55.339130434782575,14,01/15/2022
934,05,31.54198473282445,7,01/15/2022
935,06,62.25506958250496,3,01/15/2022
936,07,45.17645631067965,5,01/15/2022
937,08,36.51443298969071,9,01/15/2022
938,09,57.21000000000003,5,01/15/2022
939,10,40.55378151260505,8,01/15/2022
940,01,33.968656716417904,1,01/08/2022
941,02,35.90602409638554,7,01/08/2022
942,03,44.033922261484115,6,01/08/2022
943,04,55.640760869565156,17,01/08/2022
944,05,24.51851145038168,9,01/08/2022
945,06,53.336580516898536,5,01/08/2022
946,07,26.19830097087378,0,01/08/2022
947,08,23.034707903780074,4,01/08/2022
948,09,51.46000000000003,5,01/08/2022
949,10,33.88487394957984,2,01/08/2022
950,01,37.4776119402985,5,01/01/2022
951,02,42.90602409638555,7,01/01/2022
952,03,56.81908127208483,6,01/01/2022
953,04,71.56059782608699,17,01/01/2022
954,05,40.54732824427481,9,01/01/2022
955,06,72.18846918489058,6,01/01/2022
956,07,45.98786407766988,4,01/01/2022
957,08,20.288659793814446,9,01/01/2022
958,09,43.29777777777777,7,01/01/2022
959,10,26.62941176470588,5,01/01/2022
960,01,32.58507462686566,5,12/25/2021
961,02,36.50843373493975,7,12/25/2021
962,03,46.59646643109539,5,12/25/2021
963,04,58.2627717391304,14,12/25/2021
964,05,38.10438931297707,6,12/25/2021
965,06,62.31133200795224,5,12/25/2021
966,07,47.46019417475732,9,12/25/2021
967,08,37.027147766323004,5,12/25/2021
968,09,49.98000000000001,4,12/25/2021
969,10,37.38823529411767,7,12/25/2021
970,01,48.755223880597015,6,12/18/2021
971,02,52.84578313253013,3,12/18/2021
972,03,57.92473498233213,7,12/18/2021
973,04,66.18682065217386,16,12/18/2021
974,05,47.44751908396944,7,12/18/2021
975,06,67.93459244532812,8,12/18/2021
976,07,53.15266990291264,5,12/18/2021
977,08,36.10309278350513,2,12/18/2021
978,09,47.74888888888889,6,12/18/2021
979,10,36.00420168067228,4,12/18/2021
980,01,37.74925373134328,3,12/11/2021
981,02,42.286746987951815,5,12/11/2021
982,03,49.81024734982328,3,12/11/2021
983,04,63.14048913043485,12,12/11/2021
984,05,38.910114503816764,5,12/11/2021
985,06,68.04751491053672,12,12/11/2021
986,07,48.06165048543694,5,12/11/2021
987,08,35.80137457044675,2,12/11/2021
988,09,55.56666666666667,7,12/11/2021
989,10,39.82605042016806,11,12/11/2021
990,01,37.0910447761194,5,12/04/2021
991,02,39.85180722891566,4,12/04/2021
992,03,51.31095406360421,5,12/04/2021
993,04,64.29755434782615,9,12/04/2021
994,05,45.943893129771,2,12/04/2021
995,06,70.24393638170972,9,12/04/2021
996,07,61.780339805825236,9,12/04/2021
997,08,52.5567010309278,7,12/04/2021
998,09,67.53111111111114,8,12/04/2021
999,10,51.73025210084035,4,12/04/2021
1000,01,43.17462686567165,6,11/27/2021
1001,02,43.49156626506024,2,11/27/2021
1002,03,47.676678445229705,4,11/27/2021
1003,04,59.030163043478204,10,11/27/2021
1004,05,41.55000000000001,9,11/27/2021
1005,06,65.75149105367795,7,11/27/2021
1006,07,53.520388349514576,10,11/27/2021
1007,08,45.21512027491408,2,11/27/2021
1008,09,61.414444444444435,7,11/27/2021
1009,10,43.678991596638646,16,11/27/2021
1010,01,48.638805970149235,4,11/20/2021
1011,02,49.05060240963856,3,11/20/2021
1012,03,53.821554770317995,5,11/20/2021
1013,04,64.44279891304349,14,11/20/2021
1014,05,43.25992366412214,6,11/20/2021
1015,06,69.55427435387676,4,11/20/2021
1016,07,54.585922330097105,5,11/20/2021
1017,08,48.21237113402065,5,11/20/2021
1018,09,65.33222222222221,8,11/20/2021
1019,10,47.86890756302524,4,11/20/2021
1020,01,56.09402985074629,6,11/13/2021
1021,02,58.76626506024097,4,11/13/2021
1022,03,63.92685512367495,2,11/13/2021
1023,04,69.24252717391302,13,11/13/2021
1024,05,57.67213740458018,6,11/13/2021
1025,06,71.293041749503,8,11/13/2021
1026,07,60.21456310679613,0,11/13/2021
1027,08,50.69003436426118,7,11/13/2021
1028,09,64.29222222222225,11,11/13/2021
1029,10,46.26470588235297,0,11/13/2021
1030,01,52.18208955223882,9,11/06/2021
1031,02,51.99759036144581,8,11/06/2021
1032,03,54.09717314487635,5,11/06/2021
1033,04,61.342934782608616,11,11/06/2021
1034,05,50.029198473282484,6,11/06/2021
1035,06,65.24035785288268,5,11/06/2021
1036,07,53.600242718446644,10,11/06/2021
1037,08,51.665979381443336,2,11/06/2021
1038,09,67.04222222222224,17,11/06/2021
1039,10,51.47899159663866,6,11/06/2021
1040,01,53.32686567164179,4,10/30/2021
1041,02,57.739759036144584,3,10/30/2021
1042,03,64.61872791519431,5,10/30/2021
1043,04,71.13179347826085,19,10/30/2021
1044,05,55.30763358778631,6,10/30/2021
1045,06,77.00417495029821,11,10/30/2021
1046,07,58.988834951456305,0,10/30/2021
1047,08,54.595189003436424,2,10/30/2021
1048,09,64.97555555555556,5,10/30/2021
1049,10,52.05798319327732,4,10/30/2021
1050,01,62.85970149253732,6,10/23/2021
1051,02,64.48072289156624,6,10/23/2021
1052,03,68.35088339222617,3,10/23/2021
1053,04,74.67703804347826,21,10/23/2021
1054,05,63.4948473282443,5,10/23/2021
1055,06,77.47097415506957,23,10/23/2021
1056,07,68.0046116504855,5,10/23/2021
1057,08,59.26838487972509,12,10/23/2021
1058,09,67.19444444444446,10,10/23/2021
1059,10,59.36974789915968,5,10/23/2021
1060,01,68.88432835820896,7,10/16/2021
1061,02,71.04156626506025,8,10/16/2021
1062,03,73.98957597173153,12,10/16/2021
1063,04,81.75258152173926,50,10/16/2021
1064,05,71.93454198473276,14,10/16/2021
1065,06,82.33389662027831,32,10/16/2021
1066,07,70.95970873786412,14,10/16/2021
1067,08,52.8658075601375,14,10/16/2021
1068,09,66.13055555555556,12,10/16/2021
1069,10,50.86890756302517,6,10/16/2021
1070,01,65.84179104477612,8,10/09/2021
1071,02,70.23012048192771,2,10/09/2021
1072,03,76.08233215547706,14,10/09/2021
1073,04,80.1804347826086,45,10/09/2021
1074,05,73.61641221374049,8,10/09/2021
1075,06,85.00675944333994,37,10/09/2021
1076,07,77.48422330097087,38,10/09/2021
1077,08,73.22199312714783,7,10/09/2021
1078,09,76.26666666666665,24,10/09/2021
1079,10,63.57815126050425,11,10/09/2021
1080,01,64.8507462686567,6,10/02/2021
1081,02,67.6734939759036,2,10/02/2021
1082,03,73.86325088339227,16,10/02/2021
1083,04,82.60040760869572,49,10/02/2021
1084,05,77.93454198473285,15,10/02/2021
1085,06,84.99204771371771,35,10/02/2021
1086,07,83.40024271844653,46,10/02/2021
1087,08,74.7745704467354,19,10/02/2021
1088,09,77.09333333333332,34,10/02/2021
1089,10,66.67394957983194,3,10/02/2021
1090,01,73.85820895522387,15,09/25/2021
1091,02,75.08072289156624,8,09/25/2021
1092,03,76.77773851590109,29,09/25/2021
1093,04,79.76195652173918,56,09/25/2021
1094,05,74.02614503816798,16,09/25/2021
1095,06,86.95009940357868,69,09/25/2021
1096,07,79.59320388349516,37,09/25/2021
1097,08,72.67353951890038,12,09/25/2021
1098,09,83.22888888888892,82,09/25/2021
1099,10,67.8655462184874,21,09/25/2021
1100,01,73.80149253731345,17,09/18/2021
1101,02,77.3867469879518,23,09/18/2021
1102,03,81.99575971731441,61,09/18/2021
1103,04,84.2869565217391,70,09/18/2021
1104,05,80.12099236641225,43,09/18/2021
1105,06,88.99940357852878,91,09/18/2021
1106,07,85.20242718446595,89,09/18/2021
1107,08,75.36563573883163,27,09/18/2021
1108,09,86.64666666666665,126,09/18/2021
1109,10,71.26470588235291,11,09/18/2021
1110,01,73.16119402985075,21,09/11/2021
1111,02,74.84216867469875,14,09/11/2021
1112,03,78.4159010600707,27,09/11/2021
1113,04,84.50244565217388,86,09/11/2021
1114,05,77.40896946564887,23,09/11/2021
1115,06,91.89522862823063,145,09/11/2021
1116,07,84.0970873786408,111,09/11/2021
1117,08,82.34879725085901,86,09/11/2021
1118,09,92.5311111111111,237,09/11/2021
1119,10,80.67058823529413,26,09/11/2021
1120,01,72.60149253731345,18,09/04/2021
1121,02,76.04698795180725,21,09/04/2021
1122,03,81.07173144876312,69,09/04/2021
1123,04,85.96902173913043,109,09/04/2021
1124,05,79.91622137404583,57,09/04/2021
1125,06,92.61332007952288,331,09/04/2021
1126,07,84.17354368932034,172,09/04/2021
1127,08,77.85635738831608,36,09/04/2021
1128,09,88.17777777777778,137,09/04/2021
1129,10,74.97899159663866,23,09/04/2021
1130,01,83.18358208955223,218,08/28/2021
1131,02,84.65301204819276,128,08/28/2021
1132,03,87.97491166077742,296,08/28/2021
1133,04,90.36277173913045,221,08/28/2021
1134,05,85.25667938931298,244,08/28/2021
1135,06,94.33757455268383,301,08/28/2021
1136,07,90.54563106796112,371,08/28/2021
1137,08,78.36288659793806,56,08/28/2021
1138,09,86.4088888888889,253,08/28/2021
1139,10,72.13361344537813,21,08/28/2021
1140,01,79.59402985074625,88,08/21/2021
1141,02,79.57951807228913,27,08/21/2021
1142,03,82.64452296819792,103,08/21/2021
1143,04,87.35081521739123,169,08/21/2021
1144,05,83.4387404580153,102,08/21/2021
1145,06,89.4439363817097,178,08/21/2021
1146,07,86.6361650485436,169,08/21/2021
1147,08,83.11821305841929,90,08/21/2021
1148,09,87.16666666666664,170,08/21/2021
1149,10,77.87647058823528,66,08/21/2021
1150,01,83.93283582089555,243,08/14/2021
1151,02,85.94337349397593,162,08/14/2021
1152,03,88.45618374558309,342,08/14/2021
1153,04,90.50991847826096,246,08/14/2021
1154,05,84.50152671755717,164,08/14/2021
1155,06,94.17355864811128,251,08/14/2021
1156,07,89.92791262135921,339,08/14/2021
1157,08,84.50652920962202,123,08/14/2021
1158,09,91.56111111111112,243,08/14/2021
1159,10,84.40336134453779,270,08/14/2021
1160,01,75.32089552238806,49,08/07/2021
1161,02,77.2265060240964,30,08/07/2021
1162,03,80.91908127208478,46,08/07/2021
1163,04,85.77989130434776,132,08/07/2021
1164,05,80.08358778625954,51,08/07/2021
1165,06,89.46481113320084,147,08/07/2021
1166,07,84.24587378640781,164,08/07/2021
1167,08,83.51683848797249,102,08/07/2021
1168,09,91.44222222222221,381,08/07/2021
1169,10,83.9655462184874,140,08/07/2021
1170,01,77.23432835820893,60,07/31/2021
1171,02,80.07108433734939,45,07/31/2021
1172,03,86.73427561837455,166,07/31/2021
1173,04,91.36739130434776,323,07/31/2021
1174,05,85.40896946564885,157,07/31/2021
1175,06,94.63499005964223,485,07/31/2021
1176,07,91.56650485436886,786,07/31/2021
1177,08,87.9302405498282,185,07/31/2021
1178,09,90.7233333333333,239,07/31/2021
1179,10,87.91932773109245,188,07/31/2021
1180,01,76.4283582089552,58,07/24/2021
1181,02,79.13855421686746,44,07/24/2021
1182,03,83.44593639575977,111,07/24/2021
1183,04,86.66494565217381,177,07/24/2021
1184,05,82.36374045801523,98,07/24/2021
1185,06,89.4029821073559,215,07/24/2021
1186,07,86.27742718446599,314,07/24/2021
1187,08,88.69003436426112,295,07/24/2021
1188,09,91.12444444444444,296,07/24/2021
1189,10,82.32268907563028,109,07/24/2021
1190,01,77.89850746268657,121,07/17/2021
1191,02,80.7265060240964,138,07/17/2021
1192,03,86.71272084805656,344,07/17/2021
1193,04,87.46154891304342,185,07/17/2021
1194,05,79.93797709923662,55,07/17/2021
1195,06,89.14831013916502,225,07/17/2021
1196,07,82.57354368932035,146,07/17/2021
1197,08,84.7412371134021,217,07/17/2021
1198,09,93.41888888888887,581,07/17/2021
1199,10,85.67478991596639,185,07/17/2021
1200,01,72.51492537313435,96,07/10/2021
1201,02,80.00240963855421,145,07/10/2021
1202,03,84.65229681978795,277,07/10/2021
1203,04,86.26997282608697,175,07/10/2021
1204,05,82.348854961832,158,07/10/2021
1205,06,88.1067594433399,219,07/10/2021
1206,07,86.93398058252424,309,07/10/2021
1207,08,85.58762886597943,368,07/10/2021
1208,09,93.64777777777778,759,07/10/2021
1209,10,86.10924369747896,278,07/10/2021
1210,01,81.85970149253733,496,07/03/2021
1211,02,84.44819277108432,303,07/03/2021
1212,03,86.04982332155474,384,07/03/2021
1213,04,86.99048913043471,185,07/03/2021
1214,05,82.00133587786257,149,07/03/2021
1215,06,86.9713717693836,250,07/03/2021
1216,07,82.41237864077675,108,07/03/2021
1217,08,81.62371134020613,326,07/03/2021
1218,09,92.06444444444442,397,07/03/2021
1219,10,90.81176470588231,2573,07/03/2021
1220,01,77.34477611940301,72,06/26/2021
1221,02,78.43614457831328,49,06/26/2021
1222,03,80.39929328621905,115,06/26/2021
1223,04,84.48029891304347,143,06/26/2021
1224,05,77.79599236641225,53,06/26/2021
1225,06,91.68409542743531,326,06/26/2021
1226,07,85.62645631067966,304,06/26/2021
1227,08,80.66666666666669,196,06/26/2021
1228,09,89.79888888888887,419,06/26/2021
1229,10,83.43193277310922,581,06/26/2021
1230,01,74.07164179104481,54,06/19/2021
1231,02,75.41807228915663,30,06/19/2021
1232,03,79.5356890459364,83,06/19/2021
1233,04,88.16019021739119,186,06/19/2021
1234,05,84.3013358778626,127,06/19/2021
1235,06,93.70755467196824,558,06/19/2021
1236,07,92.58786407766996,830,06/19/2021
1237,08,87.55567010309288,500,06/19/2021
1238,09,92.0822222222222,874,06/19/2021
1239,10,76.86890756302522,109,06/19/2021
1240,01,81.96119402985076,371,06/12/2021
1241,02,84.11686746987952,166,06/12/2021
1242,03,84.32402826855122,247,06/12/2021
1243,04,85.0142663043478,169,06/12/2021
1244,05,86.58625954198473,291,06/12/2021
1245,06,88.82365805168983,299,06/12/2021
1246,07,88.26723300970872,480,06/12/2021
1247,08,83.31374570446731,210,06/12/2021
1248,09,78.92777777777778,151,06/12/2021
1249,10,64.7470588235294,29,06/12/2021
1250,01,66.0417910447761,76,06/05/2021
1251,02,67.73132530120483,47,06/05/2021
1252,03,71.03180212014134,106,06/05/2021
1253,04,79.42201086956514,84,06/05/2021
1254,05,74.22900763358788,80,06/05/2021
1255,06,79.44473161033794,54,06/05/2021
1256,07,74.42135922330098,74,06/05/2021
1257,08,77.90034364261166,258,06/05/2021
1258,09,88.7988888888889,278,06/05/2021
1259,10,79.97731092436973,258,06/05/2021
1260,01,73.88507462686567,69,05/29/2021
1261,02,75.59518072289156,35,05/29/2021
1262,03,81.76678445229679,127,05/29/2021
1263,04,87.28097826086952,150,05/29/2021
1264,05,75.53301526717551,63,05/29/2021
1265,06,83.52286282306159,85,05/29/2021
1266,07,75.87548543689316,62,05/29/2021
1267,08,64.45395189003436,30,05/29/2021
1268,09,76.11888888888888,92,05/29/2021
1269,10,61.66890756302523,27,05/29/2021
1270,01,76.62985074626866,67,05/22/2021
1271,02,79.00240963855424,47,05/22/2021
1272,03,77.2416961130742,94,05/22/2021
1273,04,80.0123641304348,59,05/22/2021
1274,05,75.51793893129764,73,05/22/2021
1275,06,79.63916500994031,36,05/22/2021
1276,07,72.60266990291261,9,05/22/2021
1277,08,69.94639175257736,32,05/22/2021
1278,09,71.63555555555554,50,05/22/2021
1279,10,63.463025210084034,21,05/22/2021
1280,01,62.507462686567166,11,05/15/2021
1281,02,61.25421686746985,8,05/15/2021
1282,03,64.68515901060073,15,05/15/2021
1283,04,73.52105978260863,47,05/15/2021
1284,05,61.09217557251912,8,05/15/2021
1285,06,75.3222664015905,37,05/15/2021
1286,07,64.05169902912623,15,05/15/2021
1287,08,59.996219931271405,33,05/15/2021
1288,09,79.8977777777778,102,05/15/2021
1289,10,64.35462184873951,26,05/15/2021
1290,01,59.24626865671642,3,05/08/2021
1291,02,63.32289156626505,9,05/08/2021
1292,03,70.98869257950535,27,05/08/2021
1293,04,77.16739130434792,66,05/08/2021
1294,05,65.06316793893133,17,05/08/2021
1295,06,79.58966202783304,56,05/08/2021
1296,07,71.27548543689322,20,05/08/2021
1297,08,63.84467353951891,31,05/08/2021
1298,09,77.9077777777778,97,05/08/2021
1299,10,62.97563025210083,18,05/08/2021
1300,01,60.13880597014929,4,05/01/2021
1301,02,64.18674698795178,12,05/01/2021
1302,03,72.38303886925799,48,05/01/2021
1303,04,77.79986413043477,64,05/01/2021
1304,05,63.679770992366436,21,05/01/2021
1305,06,78.91669980119289,41,05/01/2021
1306,07,74.26650485436893,29,05/01/2021
1307,08,62.958419243986256,43,05/01/2021
1308,09,70.0566666666667,70,05/01/2021
1309,10,60.884873949579834,20,05/01/2021
1310,01,54.12835820895523,3,04/24/2021
1311,02,54.69156626506024,3,04/24/2021
1312,03,60.43250883392226,6,04/24/2021
1313,04,68.59959239130436,32,04/24/2021
1314,05,53.8229007633588,6,04/24/2021
1315,06,66.06322067594431,10,04/24/2021
1316,07,54.218446601941665,5,04/24/2021
