row,Region,Avg. temperature,Regional Illnesses,Week of
132,03,86.42367491166087,394,07/29/2023
133,04,90.57826086956528,435,07/29/2023
134,05,86.32843511450379,311,07/29/2023
135,06,97.31133200795229,716,07/29/2023
136,07,93.21796116504856,837,07/29/2023
137,08,89.08865979381439,411,07/29/2023
138,09,93.85111111111111,1020,07/29/2023
139,10,82.65126050420172,156,07/29/2023
140,01,80.58059701492537,142,07/22/2023
141,02,82.0975903614458,78,07/22/2023
142,03,84.80706713780921,200,07/22/2023
143,04,89.69211956521744,410,07/22/2023
144,05,80.31603053435123,83,07/22/2023
145,06,97.22206759443344,915,07/22/2023
146,07,84.2618932038835,400,07/22/2023
147,08,82.18316151202747,418,07/22/2023
148,09,96.8388888888889,1270,07/22/2023
149,10,86.22941176470587,313,07/22/2023
150,01,81.07611940298507,179,07/15/2023
151,02,82.43614457831328,144,07/15/2023
152,03,85.25759717314489,266,07/15/2023
153,04,88.2963315217391,330,07/15/2023
154,05,81.3580152671755,102,07/15/2023
155,06,94.90238568588452,779,07/15/2023
156,07,85.60315533980588,577,07/15/2023
157,08,81.36975945017181,264,07/15/2023
158,09,89.83222222222217,694,07/15/2023
159,10,81.8126050420168,211,07/15/2023
160,01,81.44328358208952,275,07/08/2023
161,02,84.46024096385541,168,07/08/2023
162,03,86.54876325088344,343,07/08/2023
163,04,90.56657608695662,401,07/08/2023
164,05,83.26469465648854,175,07/08/2023
165,06,92.83956262425444,526,07/08/2023
166,07,83.64441747572812,276,07/08/2023
167,08,78.12096219931267,197,07/08/2023
168,09,91.40333333333332,471,07/08/2023
169,10,82.44369747899161,240,07/08/2023
170,01,76.75970149253729,72,07/01/2023
171,02,78.9602409638554,43,07/01/2023
172,03,81.63922261484103,127,07/01/2023
173,04,89.17146739130439,399,07/01/2023
174,05,81.74809160305331,108,07/01/2023
175,06,97.35228628230607,1105,07/01/2023
176,07,87.81359223300967,663,07/01/2023
177,08,77.92749140893466,168,07/01/2023
178,09,83.88999999999997,311,07/01/2023
179,10,77.30252100840336,123,07/01/2023
180,01,71.7597014925373,26,06/24/2023
181,02,75.37710843373492,18,06/24/2023
182,03,76.29187279151942,55,06/24/2023
183,04,82.86019021739126,118,06/24/2023
184,05,82.56412213740465,125,06/24/2023
185,06,94.06660039761428,810,06/24/2023
186,07,86.24538834951453,335,06/24/2023
187,08,76.11580756013748,85,06/24/2023
188,09,77.78666666666666,130,06/24/2023
189,10,65.0764705882353,41,06/24/2023
190,01,74.08358208955224,29,06/17/2023
191,02,73.93855421686744,8,06/17/2023
192,03,77.65159010600702,44,06/17/2023
193,04,83.82051630434779,140,06/17/2023
194,05,74.05744274809159,36,06/17/2023
195,06,89.23836978131217,444,06/17/2023
196,07,80.27184466019425,141,06/17/2023
197,08,72.35360824742267,56,06/17/2023
198,09,78.1166666666667,98,06/17/2023
199,10,71.46806722689071,68,06/17/2023
200,01,60.89850746268657,13,06/10/2023
201,02,68.55421686746988,8,06/10/2023
202,03,75.40777385159008,32,06/10/2023
203,04,84.62160326086958,110,06/10/2023
204,05,80.87156488549617,72,06/10/2023
205,06,87.47892644135189,181,06/10/2023
206,07,85.14393203883498,190,06/10/2023
207,08,78.41340206185563,107,06/10/2023
208,09,78.23555555555555,89,06/10/2023
209,10,74.60084033613445,79,06/10/2023
210,01,80.96716417910447,120,06/03/2023
211,02,82.20120481927715,49,06/03/2023
212,03,77.89187279151949,100,06/03/2023
213,04,80.49171195652177,92,06/03/2023
214,05,85.30038167938933,193,06/03/2023
215,06,85.80735586481109,141,06/03/2023
216,07,84.01966019417478,189,06/03/2023
217,08,76.37663230240548,80,06/03/2023
218,09,75.41999999999999,87,06/03/2023
219,10,69.64201680672268,54,06/03/2023
220,01,66.72238805970149,19,05/27/2023
221,02,69.63132530120481,10,05/27/2023
222,03,73.43745583038876,30,05/27/2023
223,04,78.60665760869576,57,05/27/2023
224,05,75.38988549618321,37,05/27/2023
225,06,81.53001988071578,80,05/27/2023
226,07,78.43665048543693,72,05/27/2023
227,08,75.41718213058424,65,05/27/2023
228,09,77.72444444444446,113,05/27/2023
229,10,69.89159663865549,50,05/27/2023
230,01,65.38656716417913,10,05/20/2023
231,02,68.29879518072288,13,05/20/2023
232,03,72.63851590106003,24,05/20/2023
233,04,81.81888586956524,92,05/20/2023
234,05,71.55687022900767,12,05/20/2023
235,06,82.09483101391656,84,05/20/2023
236,07,73.41577669902917,41,05/20/2023
237,08,67.2233676975945,62,05/20/2023
238,09,81.71777777777778,130,05/20/2023
239,10,76.01596638655464,291,05/20/2023
240,01,71.41194029850745,43,05/13/2023
241,02,72.19156626506027,23,05/13/2023
242,03,75.79717314487633,44,05/13/2023
243,04,81.65244565217398,85,05/13/2023
244,05,73.97843511450377,28,05/13/2023
245,06,85.57852882703781,86,05/13/2023
246,07,80.25703883495139,166,05/13/2023
247,08,65.1711340206186,21,05/13/2023
248,09,67.66555555555557,63,05/13/2023
249,10,61.418487394957985,80,05/13/2023
250,01,55.50597014925374,8,05/06/2023
251,02,54.869879518072274,7,05/06/2023
252,03,60.46466431095405,12,05/06/2023
253,04,72.0070652173914,28,05/06/2023
254,05,59.15209923664118,10,05/06/2023
255,06,79.51729622266404,84,05/06/2023
256,07,69.29878640776698,58,05/06/2023
257,08,67.86151202749146,52,05/06/2023
258,09,65.8777777777778,58,05/06/2023
259,10,67.39159663865544,37,05/06/2023
260,01,55.18208955223879,6,04/29/2023
261,02,57.97831325301205,1,04/29/2023
262,03,62.42226148409899,6,04/29/2023
263,04,70.48464673913043,31,04/29/2023
264,05,53.921564885496174,5,04/29/2023
265,06,68.89681908548708,17,04/29/2023
266,07,60.32451456310688,14,04/29/2023
267,08,54.27525773195874,18,04/29/2023
268,09,76.42333333333335,82,04/29/2023
269,10,61.12773109243695,56,04/29/2023
270,01,59.107462686567146,7,04/22/2023
271,02,64.99518072289155,5,04/22/2023
272,03,74.30070671378091,37,04/22/2023
273,04,78.22214673913041,43,04/22/2023
274,05,59.43015267175576,11,04/22/2023
275,06,77.89423459244534,22,04/22/2023
276,07,64.66092233009715,23,04/22/2023
277,08,49.523711340206184,12,04/22/2023
278,09,64.51777777777781,43,04/22/2023
279,10,48.22184873949585,4,04/22/2023
280,01,65.5373134328358,70,04/15/2023
281,02,69.41927710843373,42,04/15/2023
282,03,70.40530035335698,40,04/15/2023
283,04,71.03967391304344,32,04/15/2023
284,05,71.85706106870232,34,04/15/2023
285,06,76.54015904572572,26,04/15/2023
286,07,77.77475728155345,69,04/15/2023
